idx,name,volume,numTimes,price,image,question,category,brand,functionalMaterial
12899,성일건강 간에 좋은 밀크씨슬 실리마린,,,,,,,주식회사한미양행,밀크씨슬(카르두스 마리아누스) 추출물?비타민 B1?비타민 B2?나이아신?판토텐산?비타민 B6?엽산?아연?셀레늄(또는 셀렌)
12900,선택하라더블다이어트가르시니아녹차,,,,,,,주식회사한미양행,가르시니아캄보지아 추출물?녹차추출물?비타민 B1?비타민 B2?비타민 B6?아연?셀레늄(또는 셀렌)
12901,선택하라 프리바이오틱스 장건강 솔루션 플러스,,,,,,,주식회사한미양행,프락토올리고당?아연
12902,선택하라 이너뷰티 피부촉촉 세라마이드,,,,,,,주식회사한미양행,옥수수배아추출물(기능성원료인정제2014-8호)?감마리놀렌산 함유 유지?베타카로틴?비타민D?비타민E?비타민 C
12903,선택하라 비타민D 3000IU,,,,,,,주식회사한미양행,비타민D
12904,선택하라 루테인오메가3,,,,,,,주식회사한미양행,루테인?비타민E?비타민A?EPA 및 DHA 함유 유지
12905,선택하라 눈건강 루테인11,,,,,,,주식회사한미양행,마리골드꽃추출물?비타민A?비타민E?비타민 B2?나이아신?비타민 B6?엽산?비타민 B12?아연?셀레늄(또는 셀렌)?망간
12906,선택하라 간건강솔루션 밀크씨슬9,,,,,,,주식회사한미양행,밀크씨슬(카르두스 마리아누스) 추출물?비타민 B1?비타민 B2?나이아신?판토텐산?비타민 B6?엽산?아연?셀레늄(또는 셀렌)
12907,석류밸런스큐,,,,,,,주식회사한미양행,NAG(엔에이지?N-아세틸글루코사민?N-Acetylglucosamine)?석류추출물
12908,서플리미트,,,,,,,주식회사한미양행,녹차추출물
12909,서프라이즈핏,,,,,,,주식회사한미양행,녹차추출물 제품?비타민B1?비타민B2
12910,서프라이즈 컷,,,,,,,주식회사한미양행,가르시니아캄보지아추출물
12911,서프라이즈 캡,,,,,,,주식회사한미양행,공액리놀레산?판토텐산
12912,새벽종,,,,,,,주식회사한미양행,옥타코사놀 함유 유지
12913,새롬옥타파워,,,,,,,주식회사한미양행,옥타코사놀 함유 유지
12914,상쾌한올리고,,,,,,,주식회사한미양행,프락토올리고당 제품?비타민D?아연
12915,삼성펩타이드골드(전량수출용),,,,,,,주식회사한미양행,코엔자임Q10?비타민 C
12916,삼성적송원(전량수출용),,,,,,,주식회사한미양행,솔잎증류농축액
12917,삼성적송원,,,,,,,주식회사한미양행,솔잎증류농축액
12918,삼성눈건강프로젝트2.0,,,,,,,주식회사한미양행,루테인지아잔틴복합추출물(기능성원료인정제2018-4호)?비타민E?비타민 B2?비타민 B6?비타민 C?아연?구리?셀레늄(또는 셀렌)
12919,삼성MSM순식물성,,,,,,,주식회사한미양행,디메틸설폰(Methyl sulfonylmethane?MSM) 제품
12920,삼성MSM100순식물성,,,,,,,주식회사한미양행,엠에스엠(MSM?Methyl sulfonylmethane?디메틸설폰)
12921,삼성MSM100,,,,,,,주식회사한미양행,디메틸설폰(Methyl sulfonylmethane?MSM) 제품
12922,삼성 건강프로젝트 혈행솔루션,,,,,,,주식회사한미양행,EPA 및 DHA 함유 유지?비타민E
12923,뼈건강 칼슘+마그네슘+비타민D,,,,,,,주식회사한미양행,비타민D?칼슘?마그네슘?아연
12924,뺄래3,,,,,,,주식회사한미양행,가르시니아캄보지아 추출물?비타민A?비타민 B1?비타민 B2?나이아신?판토텐산?비타민 B6?비타민 C?아연?셀레늄(또는 셀렌)
12925,뺄래2,,,,,,,주식회사한미양행,콜레우스포스콜리추출물(기능성원료인정제2012-5호)
12926,뺄래1,,,,,,,주식회사한미양행,녹차추출물?알로에 전잎?아연?판토텐산?엽산?비타민 C?셀레늄(또는 셀렌)
12927,빵순이를 위한 다이어트,,,,,,,주식회사한미양행,가르시니아캄보지아 추출물?비타민 B1?나이아신?판토텐산?비오틴?아연
12928,빠질라카노,,,,,,,주식회사한미양행,가르시니아캄보지아 추출물?판토텐산?비타민 B1
12929,비피락토혼합유산균플러스,,,,,,,주식회사한미양행,프로바이오틱스 제품
12930,비타할로 히알루론산,,,,,,,주식회사한미양행,히알루론산?비타민A?비타민E
12931,비타할로 오메가3 플러스,,,,,,,주식회사한미양행,EPA 및 DHA 함유 유지?비타민A?비타민D?비타민E
12932,비타할로 엽산,,,,,,,주식회사한미양행,엽산
12933,비타할로 여성용 멀티비타민 플러스 미네랄,,,,,,,주식회사한미양행,비타민A?비타민D?비타민E?비타민K?비타민 B1?비타민 B2?비타민 B6?엽산?비타민 B12?비타민 C?철?아연?구리?셀레늄(또는 셀렌)?망간?크롬
12934,비타할로 멀티비타민 플러스 미네랄,,,,,,,주식회사한미양행,비타민A?비타민D?비타민E?비타민K?비타민 B1?비타민 B2?나이아신?판토텐산?비타민 B6?엽산?비타민 B12?비오틴?비타민 C?철?아연?구리?셀레늄(또는 셀렌)?망간?크롬
12935,비타할로 남성용 멀티비타민 플러스 미네랄,,,,,,,주식회사한미양행,비타민A?비타민E?비타민K?비타민 B1?비타민 B2?나이아신?판토텐산?비타민 B6?비오틴?비타민 C?아연?구리?셀레늄(또는 셀렌)?망간?크롬
12936,비타할로 건강한 눈을위한 루테인 플러스,,,,,,,주식회사한미양행,마리골드꽃추출물?비타민A?비타민 B2?나이아신?비타민 B6?엽산?비타민 B12?아연?구리?셀레늄(또는 셀렌)?망간
12937,비타할로 건강한 간을위한 밀크씨슬 플러스,,,,,,,주식회사한미양행,밀크씨슬(카르두스 마리아누스) 추출물?비타민 B1?비타민 B2?나이아신?판토텐산?비타민 B6?엽산?아연?셀레늄(또는 셀렌)
12938,비타파워,,,,,,,주식회사한미양행,비타민A?비타민D?비타민E
12939,비타민하우스멀티비타민웰플러스,,,,,,,주식회사한미양행,비타민 C?비타민E?나이아신?셀레늄(또는 셀렌)?판토텐산?비타민 B6?비타민 B1?아연?비타민A?비타민D?엽산
12940,비타민C플러스,,,,,,,주식회사한미양행,비타민C
12941,비타민C500오렌지맛,,,,,,,주식회사한미양행,비타민C
12942,비울래,,,,,,,주식회사한미양행,프로바이오틱스?아연?알로에 전잎
12943,비오틴 슬림 다이어트,,,,,,,주식회사한미양행,가르시니아캄보지아 추출물?비타민 B1?비타민 B2?나이아신?판토텐산?비오틴
12944,비앤빛아이케어,,,,,,,주식회사한미양행,루테인 제품?비타민A?비타민E?아연
12945,비앤빛 줄리어트,,,,,,,주식회사한미양행,공액리놀레산?가르시니아캄보지아추출물?비타민E
12946,비앤비앤멀티비타민미네랄,,,,,,,주식회사한미양행,비타민B1?비타민B2?비타민B6?비오틴?엽산?나이아신?판토텐산?셀레늄(또는 셀렌)?크롬?아연?비타민C
12947,비-프로폴리스GOLD,,,,,,,주식회사한미양행,프로폴리스추출물 제품
12948,블루아이루테인골드,,,,,,,주식회사한미양행,루테인 제품?비타민E
12949,블루베리맛종합비타민,,,,,,,주식회사한미양행,비타민E?비타민D?비타민B6?비타민B1?비타민A?비타민B2?비타민C
12950,블로썸365,,,,,,,주식회사한미양행,감마리놀렌산 함유 유지
12951,블랙커런트오일캡슐,,,,,,,주식회사한미양행,감마리놀렌산 함유 유지
12952,블랙커런트오일100,,,,,,,주식회사한미양행,감마리놀렌산 함유 유지
12953,블랙커런트,,,,,,,주식회사한미양행,감마리놀렌산 함유 유지
12954,브이원 수퍼브 루테인,,,,,,,주식회사한미양행,루테인 제품?비타민E?아연
12955,브레인케어365,,,,,,,주식회사한미양행,피브로인효소가수분해물(기능성원료인정제2009-46호)?비타민 B1?비타민 B2?셀레늄(또는 셀렌)
12956,뷰티츄어블C,,,,,,,주식회사한미양행,비타민C
12957,부탁해요누나누나루테인,,,,,,,주식회사한미양행,루테인?비타민A?비타민 B2?나이아신?비타민 B6?엽산?비타민 B12?아연?구리?셀레늄(또는 셀렌)?망간
12958,부탁해요가나가나밀크씨슬,,,,,,,주식회사한미양행,밀크씨슬(카르두스 마리아누스) 추출물?비타민 B1?비타민 B2?나이아신?판토텐산?비타민 B6?엽산?아연?셀레늄(또는 셀렌)
12959,복합헤모철플러스,,,,,,,주식회사한미양행,철?엽산
12960,복합오메가3프리미엄,,,,,,,주식회사한미양행,EPA 및 DHA 함유 유지?비타민A?비타민D
12961,복합쏘팔메토포맨파워,,,,,,,주식회사한미양행,쏘팔메토열매추출물 제품?옥타코사놀함유유지 제품?비타민E?아연?구리?셀레늄(또는 셀렌)?망간
12962,복합쏘팔메토,,,,,,,주식회사한미양행,쏘팔메토열매추출물 제품?옥타코사놀함유유지 제품?나이아신
12963,복합비타민앤미네랄오메가3,,,,,,,주식회사한미양행,오메가-3지방산함유유지 제품?비타민B1?비타민B2?비타민B6?비오틴?엽산?나이아신?판토텐산?셀레늄(또는 셀렌)?크롬?아연
12964,복합다이어트씨엘에이,,,,,,,주식회사한미양행,공액리놀레산?비타민A?비타민E
12965,보령플로라글로루테인,,,,,,,주식회사한미양행,비타민E?루테인 제품
12966,보령에너지맨,,,,,,,주식회사한미양행,비타민A?비타민B1?나이아신?판토텐산?비타민C?비타민D?비타민E?아연
12967,보령아이루테인골드,,,,,,,주식회사한미양행,루테인 제품?비타민A
12968,보령수퍼루테인,,,,,,,주식회사한미양행,루테인 제품?비타민E
12969,보령멀티비타민,,,,,,,주식회사한미양행,비타민A?비타민C?비타민D
12970,보령루테인-S,,,,,,,주식회사한미양행,비타민E?루테인 제품
12971,보령 프리바이오틱스 프로바이오틱스,,,,,,,주식회사한미양행,프락토올리고당?프로바이오틱스?아연
12972,보령 카테킨 골드,,,,,,,주식회사한미양행,녹차추출물 제품
12973,보령 눈건강 루테인지아잔틴,,,,,,,주식회사한미양행,루테인지아잔틴복합추출물(기능성원료인정제2018-4호)?비타민E?비타민 B2?비타민 B6?비타민 C?아연?구리?셀레늄(또는 셀렌)
12974,보간해소,,,,,,,주식회사한미양행,밀크씨슬(카르두스 마리아누스) 추출물?비타민 B1?비타민 B2?나이아신?비타민 C
12975,베타카로틴데이,,,,,,,주식회사한미양행,베타카로틴
12976,베르지 프로폴리스 골드,,,,,,,주식회사한미양행,프로폴리스추출물 제품
12977,번업12,,,,,,,주식회사한미양행,공액리놀레산?나이아신?판토텐산?비타민B6
12978,밸런스업,,,,,,,주식회사한미양행,판토텐산?아연
12979,밝은눈 환한세상,,,,,,,주식회사한미양행,루테인 제품?비타민A
12980,바이탈라이프멀티비타민,,,,,,,주식회사한미양행,비타민 C?비타민E?나이아신?아연?비타민 B2?비타민 B1?비타민 B6?판토텐산?비오틴?비타민D?엽산
12981,바이오셀렌,,,,,,,주식회사한미양행,셀레늄(또는 셀렌)
12982,바이오 액티브 비타민C 캡슐,,,,,,,주식회사한미양행,비타민C
12983,바른정(正),,,,,,,주식회사한미양행,차전자피식이섬유
12984,바루스,,,,,,,주식회사한미양행,옥타코사놀 함유 유지?아연?비타민 B2?비타민 B6?비타민E?엽산
12985,바디핏다이어트CLA,,,,,,,주식회사한미양행,공액리놀레산?비타민E?비타민 B1?비타민 B2?나이아신
12986,밀크씨슬옥타플러스,,,,,,,주식회사한미양행,밀크씨슬(카르두스 마리아누스) 추출물 제품?옥타코사놀함유유지 제품?비타민B2
12987,밀크씨슬 프리미엄 간건강 솔루션,,,,,,,주식회사한미양행,밀크씨슬(카르두스 마리아누스) 추출물?나이아신?판토텐산?비타민 B1?비타민 B2?비타민 B6
12988,밀크씨슬,,,,,,,주식회사한미양행,밀크씨슬(카르두스 마리아누스) 추출물 제품?비타민E?비타민B1?비타민B2?비타민B6
12989,밀웜프로틴,,,,,,,주식회사한미양행,단백질
12990,미앤청,,,,,,,주식회사한미양행,베타카로틴
12991,미스 글로우,,,,,,,주식회사한미양행,녹차추출물?알로에 전잎?아연?판토텐산?엽산?비타민 C?셀레늄(또는 셀렌)
12992,미라클파워맥스골드,,,,,,,주식회사한미양행,비타민E
12993,미라클MSM,,,,,,,주식회사한미양행,디메틸설폰(Methyl sulfonylmethane?MSM) 제품
12994,모드본(本)MSM100순식물성,,,,,,,주식회사한미양행,엠에스엠(MSM?Methyl sulfonylmethane?디메틸설폰)
12995,모닝07,,,,,,,주식회사한미양행,공액리놀레산?비타민B1?비타민B2?비타민B6?나이아신?판토텐산
12996,면역력을 증진시키는 엔케이캡슐,,,,,,,주식회사한미양행,홍삼제품
12997,면역 & 다이어트,,,,,,,주식회사한미양행,가르시니아캄보지아 추출물?비타민 B1?비타민 B2?비타민 B6?나이아신?아연?판토텐산
12998,멜론SOD,,,,,,,주식회사한미양행,PME 88 메론 추출물
12999,메이플트리 굿바디 다이어트 CLA,,,,,,,주식회사한미양행,공액리놀레산
13000,메디파이토Ⅱ,,,,,,,주식회사한미양행,비타민 C?밀크씨슬(카르두스 마리아누스) 추출물
13001,메디파이토Ⅰ,,,,,,,주식회사한미양행,비타민E?EPA 및 DHA 함유 유지
13002,메디탑Ⅱ,,,,,,,주식회사한미양행,비타민 C?밀크씨슬(카르두스 마리아누스) 추출물
13003,메디탑Ⅰ,,,,,,,주식회사한미양행,비타민E?EPA 및 DHA 함유 유지
13004,메가프리미엄골드,,,,,,,주식회사한미양행,감마리놀렌산함유유지 제품?셀레늄(또는 셀렌)
13005,메가프로바이오틱,,,,,,,주식회사한미양행,프로바이오틱스 제품
13006,메가파워프로테인(단백질),,,,,,,주식회사한미양행,단백질
13007,메가트리플오메가-3비타민앤미네랄,,,,,,,주식회사한미양행,오메가-3지방산함유유지 제품?비타민B1?비타민B2?비타민B6?비타민D?비타민E?아연
13008,메가멀티비타민앤미네랄포패밀리,,,,,,,주식회사한미양행,비타민A?망간?비타민B1?비타민B2?비타민B6?비타민C?비타민D?엽산?판토텐산?아연
13009,메가맥스 프리미엄,,,,,,,주식회사한미양행,오메가-3지방산함유유지 제품?감마리놀렌산함유유지 제품
13010,메가로톤,,,,,,,주식회사한미양행,쏘팔메토 열매 추출물
13011,메가골드프리미엄,,,,,,,주식회사한미양행,베타카로틴?비타민 B1?비타민 B2?비타민 B6?비오틴?마그네슘?철?아연
13012,메가CLA1560,,,,,,,주식회사한미양행,공액리놀레산
13013,메가 이피에이 오메가-3 1000,,,,,,,주식회사한미양행,오메가-3 지방산 함유 유지?비타민E
13014,메가 오메가-3 1000,,,,,,,주식회사한미양행,비타민E?오메가-3 지방산 함유 유지
13015,메가 디에이치에이 오메가-3 1000,,,,,,,주식회사한미양행,오메가-3 지방산 함유 유지?베타카로틴?비타민E
13016,멀티플렉스비타민미네랄,,,,,,,주식회사한미양행,비타민A?비타민B1?비타민C?비타민D?비타민E?아연
13017,멀티플러스-에스에이치,,,,,,,주식회사한미양행,엠에스엠(MSM?Methyl sulfonylmethane?디메틸설폰)?비타민 B6?엽산
13018,멀티포뮬러 12,,,,,,,주식회사한미양행,오메가-3지방산함유유지 제품?셀레늄(또는 셀렌)?아연?크롬?루테인 제품?비타민B1?비타민B2?비타민B6?나이아신?비오틴?엽산?판토텐산
13019,멀티포뮬러,,,,,,,주식회사한미양행,오메가-3지방산함유유지 제품?옥타코사놀함유유지 제품?비타민E?비타민B1?비타민B2?비타민B6?비오틴?엽산?나이아신?판토텐산?셀레늄(또는 셀렌)?크롬?아연
13020,멀티비타민플렉스,,,,,,,주식회사한미양행,비타민B1?비타민B2?나이아신?판토텐산?비타민B6?엽산?비오틴?비타민C?아연?셀레늄(또는 셀렌)?크롬
13021,멀티비타민플러스원,,,,,,,주식회사한미양행,비타민E?비타민C?비타민B2?비타민A?비타민B1?비타민B6
13022,멀티비타민칼슘,,,,,,,주식회사한미양행,비타민E?비타민C?비타민A?칼슘?비타민B6?비타민D
13023,멀티비타민모닝,,,,,,,주식회사한미양행,비타민C?비타민A
13024,멀티비타민A.C.E,,,,,,,주식회사한미양행,비타민E?비타민A?비타민C
13025,멀티비타민 프리미엄,,,,,,,주식회사한미양행,비타민D?비타민 B1?판토텐산?비타민 C
13026,멀티비타민,,,,,,,주식회사한미양행,비타민B6?비타민C?비타민B2?비타민B1
13027,맨파워88,,,,,,,주식회사한미양행,쏘팔메토 열매 추출물?비타민 B1?비타민 B2?나이아신?비타민 B6?엽산?아연?옥타코사놀 함유 유지
13028,맥스파워칼슘D,,,,,,,주식회사한미양행,칼슘?마그네슘?비타민D
13029,맥브레인,,,,,,,주식회사한미양행,포스파티딜세린?비타민 B1?비타민 B6?엽산?비타민 B12
13030,매일철분엽산Y,,,,,,,주식회사한미양행,엽산?철
13031,매일철분엽산R,,,,,,,주식회사한미양행,엽산?철
13032,매일철분엽산P,,,,,,,주식회사한미양행,철?엽산
13033,맛있는식이섬유,,,,,,,주식회사한미양행,난소화성말토덱스트린 제품?귀리식이섬유 제품
13034,맑을청,,,,,,,주식회사한미양행,홍삼제품
13035,맑은세상 비타민A,,,,,,,주식회사한미양행,비타민A
13036,마법의 키토산 다이어트,,,,,,,주식회사한미양행,키토산 제품?판토텐산
13037,마그네슘05,,,,,,,주식회사한미양행,비타민 B1?비타민 B2?비타민 B6?마그네슘?셀레늄(또는 셀렌)
13038,링즈캡슐,,,,,,,주식회사한미양행,비타민E
13039,리핏,,,,,,,주식회사한미양행,가르시니아캄보지아 추출물?비타민 B1?비타민 B2?판토텐산
13040,리얼쏘팔메토,,,,,,,주식회사한미양행,쏘팔메토 열매 추출물?옥타코사놀 함유 유지?비타민 B1?비타민 B2?나이아신?판토텐산?비타민 B6?엽산?아연
13041,리얼솔루션코엔자임큐텐,,,,,,,주식회사한미양행,코엔자임Q10?셀레늄(또는 셀렌)?아연?판토텐산?비오틴?비타민A?비타민 B6?비타민 B2?비타민 B1?엽산
13042,리얼 바나바 당케어,,,,,,,주식회사한미양행,바나바잎 추출물?비타민 B1?아연?셀레늄(또는 셀렌)?크롬
13043,리버디스,,,,,,,주식회사한미양행,밀크씨슬(카르두스 마리아누스) 추출물 제품?비타민B1?비타민B2?비타민B6?비타민C?비타민E
13044,리바플러스,,,,,,,주식회사한미양행,밀크씨슬(카르두스 마리아누스) 추출물
13045,리:포유 바디핏,,,,,,,주식회사한미양행,녹차추출물?알로에 전잎?셀레늄(또는 셀렌)?아연?엽산
13046,리:포유 바디컷,,,,,,,주식회사한미양행,가르시니아캄보지아 추출물?알로에 전잎?비타민 B1?비타민 B2?비타민 B6?나이아신?판토텐산
13047,리:포유 CLA,,,,,,,주식회사한미양행,공액리놀레산?비타민E?비타민A
13048,루테인프리미엄,,,,,,,주식회사한미양행,비타민E?루테인 제품?비타민A
13049,루테인오메가플러스D&E,,,,,,,주식회사한미양행,EPA 및 DHA 함유 유지?마리골드꽃추출물?비타민D?비타민E
13050,루테인오메가3,,,,,,,주식회사한미양행,루테인?비타민E?비타민A?EPA 및 DHA 함유 유지
13051,루테인오메가-3,,,,,,,주식회사한미양행,루테인?비타민E?비타민A?EPA 및 DHA 함유 유지
13052,루테인사랑,,,,,,,주식회사한미양행,마리골드꽃추출물?헤마토코쿠스 추출물?비타민A?비타민E?아연?비타민 C
13053,루테인골드,,,,,,,주식회사한미양행,루테인 제품?비타민A?비타민B1?비타민B2?비타민B6?비타민E?아연
13054,루테인9플러스,,,,,,,주식회사한미양행,루테인 제품?비타민A?비타민E?비타민B2?나이아신?비타민B6?아연?셀레늄(또는 셀렌)?망간
13055,루테인2,,,,,,,주식회사한미양행,비타민E?루테인 제품
13056,루테인12,,,,,,,주식회사한미양행,루테인?비타민A?비타민 B2?나이아신?비타민 B6?엽산?비타민 B12?아연?구리?셀레늄(또는 셀렌)?망간?비타민E
13057,루테인11플러스,,,,,,,주식회사한미양행,루테인?비타민A?비타민E?비타민 B2?나이아신?비타민 B6?엽산?비타민 B12?아연?셀레늄(또는 셀렌)?망간
13058,루테인11,,,,,,,주식회사한미양행,루테인?비타민A?비타민E?나이아신?비타민 B6?엽산?비타민 B12?아연?구리?셀레늄(또는 셀렌)?망간
13059,루테인1,,,,,,,주식회사한미양행,비타민E?루테인 제품
13060,루테인 프리미엄 눈건강 솔루션,,,,,,,주식회사한미양행,루테인?비타민A?나이아신?아연?셀레늄(또는 셀렌)?비타민E
13061,루테인 아스타잔틴 헤마토코쿠스,,,,,,,주식회사한미양행,마리골드꽃추출물?헤마토코쿠스 추출물?비타민A?비타민E?아연?비타민 C
13062,루테인 아스타잔틴,,,,,,,주식회사한미양행,마리골드꽃추출물?헤마토코쿠스 추출물?비타민A?비타민D?비타민E
13063,루테인,,,,,,,주식회사한미양행,루테인 제품?비타민A?비타민E
13064,롱키원,,,,,,,주식회사한미양행,황기추출물 등 복합물(HT042)(기능성원료인정제2014-40호)?아연
13065,로하비프리미엄코엔자임Q10이엑스,,,,,,,주식회사한미양행,코엔자임Q10?비타민A?비타민 B1?비타민 B2?나이아신?판토텐산?비타민 B6?엽산?비오틴?아연?셀레늄(또는 셀렌)
13066,로하비프리미엄루테인오메가3이엑스,,,,,,,주식회사한미양행,마리골드꽃추출물?EPA 및 DHA 함유 유지?비타민A?비타민D
13067,로하비 프리미엄 징코그린 이엑스,,,,,,,주식회사한미양행,은행잎 추출물?셀레늄(또는 셀렌)?나이아신?철?판토텐산?아연?망간?비타민 B6?비타민 B1?비타민 B2?구리
13068,로하비 프리미엄 쏘팔메토 이엑스,,,,,,,주식회사한미양행,쏘팔메토 열매 추출물?옥타코사놀 함유 유지?비타민D?비타민 B1?비타민 B2?나이아신?판토텐산?비타민 B6?엽산?아연?셀레늄(또는 셀렌)
13069,로하비 프리미엄 밀크씨슬 이엑스,,,,,,,주식회사한미양행,밀크씨슬(카르두스 마리아누스) 추출물?비타민 B1?비타민 B2?나이아신?판토텐산?비타민 B6?엽산?아연?셀레늄(또는 셀렌)
13070,로하비 프리미엄 마그네슘 이엑스,,,,,,,주식회사한미양행,비타민 B1?비타민 B2?비타민 B6?비타민 B12?마그네슘
13071,로얄-5(ROYAL-5),,,,,,,주식회사한미양행,인삼제품
13072,레비멜라,,,,,,,주식회사한미양행,홍경천 추출물?비타민A?베타카로틴?비타민D?비타민E?비타민K?비타민 B1?비타민 B2?나이아신?판토텐산?비타민 B6?엽산?비타민 C?구리?셀레늄(또는 셀렌)
13073,레드플러스프로폴리스,,,,,,,주식회사한미양행,프로폴리스추출물 제품
13074,레드플러스비타민A.C.E,,,,,,,주식회사한미양행,비타민E?비타민A?비타민C
13075,레드퓨어에스,,,,,,,주식회사한미양행,EPA 및 DHA 함유 유지?바나바잎 추출물?홍국?엽산
13076,레드존프로폴리스,,,,,,,주식회사한미양행,프로폴리스추출물 제품
13077,레드시크릿,,,,,,,주식회사한미양행,가르시니아캄보지아 추출물?나이아신
13078,레노바티오,,,,,,,주식회사한미양행,홍삼
13079,락토사랑,,,,,,,주식회사한미양행,프락토올리고당?프로바이오틱스?아연?셀레늄(또는 셀렌)
13080,락토레이디프로,,,,,,,주식회사한미양행,프로바이오틱스?아연?셀레늄(또는 셀렌)
13081,라비타D,,,,,,,주식회사한미양행,비타민A?비타민D?비타민E?비타민K?비타민B12?엽산?마그네슘?셀레늄(또는 셀렌)?아연
13082,땡큐엠에스엠분말,,,,,,,주식회사한미양행,디메틸설폰(Methyl sulfonylmethane?MSM) 제품
13083,듀락17,,,,,,,주식회사한미양행,프로바이오틱스?셀레늄(또는 셀렌)?아연
13084,두보렉스 G-1000,,,,,,,주식회사한미양행,귀리식이섬유 제품
13085,동화헤모철,,,,,,,주식회사한미양행,철
13086,동화칼슘마그네슘,,,,,,,주식회사한미양행,마그네슘?칼슘
13087,동화유산균,,,,,,,주식회사한미양행,프로바이오틱스 제품
13088,동화글루코사민,,,,,,,주식회사한미양행,글루코사민 제품?비타민E
13089,동화e프락토올리고당,,,,,,,주식회사한미양행,프락토올리고당 제품
13090,덩크슛칼슘및종합비타민,,,,,,,주식회사한미양행,칼슘?비타민D?비타민C?비타민E?비타민B6?비타민B1?비타민A?비타민B2
13091,더블다이어트,,,,,,,주식회사한미양행,가르시니아캄보지아추출물?비타민C?홍경천 추출물
13092,대연 금(金)화정,,,,,,,주식회사한미양행,철?마그네슘?망간?비타민E?비타민B6?비타민B1?비타민A?비타민B2?비타민C
13093,당헬프,,,,,,,주식회사한미양행,바나바잎 추출물?EPA 및 DHA 함유 유지?홍국?엽산
13094,당헬스케어,,,,,,,주식회사한미양행,코엔자임Q10?바나바잎 추출물?은행잎 추출물?홍국
13095,당파워-Ⅲ,,,,,,,주식회사한미양행,코엔자임Q10?바나바잎 추출물?은행잎 추출물?홍국
13096,달맞이꽃종자유,,,,,,,주식회사한미양행,감마리놀렌산함유유지 제품?비타민E
13097,닥터혈당컨트롤,,,,,,,주식회사한미양행,바나바잎 추출물?비타민E?비타민 B1?비타민 B2?나이아신?판토텐산?비타민 B6?엽산?비오틴?아연?셀레늄(또는 셀렌)?크롬
13098,닥터헬스케어,,,,,,,주식회사한미양행,폴리덱스트로스?프락토올리고당?아연
13099,닥터헬스청Ⅱ,,,,,,,주식회사한미양행,비타민 C?밀크씨슬(카르두스 마리아누스) 추출물
13100,닥터헬스청Ⅰ,,,,,,,주식회사한미양행,비타민E?EPA 및 DHA 함유 유지
13101,닥터콜롬보,,,,,,,주식회사한미양행,비타민 C?밀크씨슬(카르두스 마리아누스) 추출물
13102,닥터철분엽산 프리미엄,,,,,,,주식회사한미양행,철?엽산
13103,닥터비 아이 솔루션 루테인6,,,,,,,주식회사한미양행,루테인?비타민A?나이아신?아연?셀레늄(또는 셀렌)?망간
13104,닥터비 간 솔루션 밀크씨슬7,,,,,,,주식회사한미양행,밀크씨슬(카르두스 마리아누스) 추출물?비타민 B1?비타민 B2?나이아신?판토텐산?비타민 B6?아연
13105,닥터바이탈 테아닌 플러스,,,,,,,주식회사한미양행,테아닌
13106,다이어트에이엠피엠,,,,,,,주식회사한미양행,가르시니아캄보지아 추출물
13107,다이어트더블파워플러스,,,,,,,주식회사한미양행,공액리놀레산?가르시니아캄보지아추출물?비타민E
13108,다이어트CLA플러스,,,,,,,주식회사한미양행,공액리놀레산
